Formation,Std Fm. Name,Age (Mya),Lithology,Lithology Code,VL Lith Name 1,Std Lithology,Std Lithology Code,check codes,TOC,d13C-org,d13C-carb,N,Internal Ref,External Ref,Summary?,"Duplicate Search Key (Std Name, Age, Std Lith Code, TOC, d13-org, d13-org)",Countif Dupl.,Duplicate?,Filtered (K-T),Reason,Filtered (us),Reason
Asbestos Hills Formation ,Asbestos Hills,2300,,BIF,banded iron formation,banded iron formation,BIF,TRUE,0.2,-24.6,,1,HAYE83..93,Strauss 1992 17.4 (Summary),TRUE,Asbestos Hills2300BIF0.2-24.6,0,FALSE,,,,
Asbestos Iiills Formation ,Asbestos Hills,2300,,BIF,banded iron formation,banded iron formation,BIF,TRUE,0.2,-24.6,,,HAYE83..93,Strauss 1992 17.3 (Prev),FALSE,Asbestos Hills2300BIF0.2-24.6,1,TRUE,,,,
"Ashanti Belt, Ghana",Ashanti Belt,2150,shale,,shale,shale,SH,#N/A,9.024375,-26.575,,8,Jia & Kerrich (2004) G3,Krissansen-Totton 2015,FALSE,Ashanti Belt2150SH9.024375-26.575,0,FALSE,,,,
Athole Point Fm,Athole Point,1125,lime,,lime,lime,LS,#N/A,,,1.29,29,kah99,Krissansen-Totton 2015,FALSE,Athole Point1125LS1.29,0,FALSE,,,,
Auburn,Auburn,775,carb,,carb,carb,CARB,#N/A,0.55,-19.3,,1,pprg92,Krissansen-Totton 2015,FALSE,Auburn775CARB0.55-19.3,0,FALSE,,,,
Auburn Dolomite ,Auburn,780,,"CARB, CH",carbonate and chert,carbonate and chert,"CARB, CH",TRUE,0.55,-19.3,,1,PPRG,Strauss 1992 17.4 (Summary),TRUE,"Auburn780CARB, CH0.55-19.3",0,FALSE,,,,
Avsyan,Avsyan,1250,shale,,shale,shale,SH,#N/A,3.49,-23.9,,4,pprg92,Krissansen-Totton 2015,FALSE,Avsyan1250SH3.49-23.9,0,FALSE,,,,
Avsyan Formation ,Avsyan,1240,,SH,shale,shale,SH,TRUE,3.49,-23.9,,4,PPRG,Strauss 1992 17.4 (Summary),TRUE,Avsyan1240SH3.49-23.9,0,FALSE,,,,
Avzyan ,Avsyan,1230,lime/dol,,lime/dol,lime/dol,LS,#N/A,,-23.38727273,,33,Bartley et al. (2007),Krissansen-Totton 2015,FALSE,Avsyan1230LS-23.3872727272727,0,FALSE,,,,
Avzyan ,Avsyan,1230,lime/dol,,lime/dol,lime/dol,LS,#N/A,,,1.017913386,254,Bartley et al. (2007),Krissansen-Totton 2015,FALSE,Avsyan1230LS1.01791338582677,0,FALSE,,,,
Awatubi,Awatubi,850,shale,,shale,shale,SH,#N/A,7.4,-29.5,,2,pprg92,Krissansen-Totton 2015,FALSE,Awatubi850SH7.4-29.5,0,FALSE,,,,
Awatubi Member ,Awatubi,862,,SH,shale,shale,SH,TRUE,7.4,-29.5,,2,PPRG,Strauss 1992 17.4 (Summary),TRUE,Awatubi862SH7.4-29.5,0,FALSE,,,,
Backlundtoppen,Backlundtoppen,759,carb,,carb,carb,CARB,#N/A,,,6.840379592,182,Halverson et al. (2005),Krissansen-Totton 2015,FALSE,Backlundtoppen759.347502990908CARB6.84037959183673,0,FALSE,,,,
Backlundtoppen,Backlundtoppen,700,shale,,shale,shale,SH,#N/A,3.6,-25,,1,knoll86,Krissansen-Totton 2015,FALSE,Backlundtoppen700SH3.6-25,0,FALSE,,,,
Backlundtoppen,Backlundtoppen,700,carb,,carb,carb,CARB,#N/A,0.46,-24.9,,3,knoll86,Krissansen-Totton 2015,FALSE,Backlundtoppen700CARB0.46-24.9,0,FALSE,,,,
Backlundtoppen,Backlundtoppen,700,carb,,carb,carb,CARB,#N/A,,,5.4,8,knoll86,Krissansen-Totton 2015,FALSE,Backlundtoppen700CARB5.4,0,FALSE,,,,
Backlundtoppen,Backlundtoppen,700,lime,,lime,lime,LS,#N/A,,,6.6,3,fairc87,Krissansen-Totton 2015,FALSE,Backlundtoppen700LS6.6,0,FALSE,,,,
Backlundtoppen Formation ,Backlundtoppen,700,,CARB,carbonate,carbonate,CARB,TRUE,0.4,-23.5,,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,Backlundtoppen700CARB0.4-23.5,0,FALSE,,,,
Backlundtoppen Formation ,Backlundtoppen,700,,DOL,dolostone,dolostone,DOL,TRUE,0.1,-24.1,,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,Backlundtoppen700DOL0.1-24.1,0,FALSE,,,,
Backlundtoppen Formation ,Backlundtoppen,700,,DOL,dolostone,dolostone,DOL,TRUE,0.9,-26.9,,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,Backlundtoppen700DOL0.9-26.9,0,FALSE,,,,
Backlundtoppen Formation ,Backlundtoppen,700,,SH,shale,shale,SH,TRUE,3.6,-25,,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,Backlundtoppen700SH3.6-25,1,TRUE,,,,
Backlundtoppen Formation ,Backlundtoppen,700,,LS,limestone,limestone,LS,TRUE,,,3.9,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,Backlundtoppen700LS3.9,0,FALSE,,,,
Backlundtoppen Formation ,Backlundtoppen,700,,LS,limestone,limestone,LS,TRUE,,,5.7,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,Backlundtoppen700LS5.7,0,FALSE,,,,
Backlundtoppen Formation ,Backlundtoppen,700,,DOL,dolostone,dolostone,DOL,TRUE,,,5,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,Backlundtoppen700DOL5,0,FALSE,,,,
Backlundtoppen Formation ,Backlundtoppen,700,,CARB,carbonate,carbonate,CARB,TRUE,,,6.6,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,Backlundtoppen700CARB6.6,0,FALSE,,,,
Backlundtoppen Formation ,Backlundtoppen,700,,DOL,dolostone,dolostone,DOL,TRUE,,,7.8,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,Backlundtoppen700DOL7.8,0,FALSE,,,,
Backlundtoppen Formation ,Backlundtoppen,700,,DOL,dolostone,dolostone,DOL,TRUE,,,3.4,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,Backlundtoppen700DOL3.4,0,FALSE,,,,
Backlundtoppen Formation ,Backlundtoppen,700,,DOL,dolostone,dolostone,DOL,TRUE,,,5.5,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,Backlundtoppen700DOL5.5,0,FALSE,,,,
Backlundtoppen Formation ,Backlundtoppen,700,,DOL,dolostone,dolostone,DOL,TRUE,,,5.3,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,Backlundtoppen700DOL5.3,0,FALSE,,,,
Backlundtoppen Formation ,Backlundtoppen,700,,LS,limestone,limestone,LS,TRUE,,,6.5,,FAIR87.973,Strauss 1992 17.3 (Prev),FALSE,Backlundtoppen700LS6.5,0,FALSE,,,,
Backlundtoppen Formation ,Backlundtoppen,700,,LS,limestone,limestone,LS,TRUE,,,7.2,,FAIR87.973,Strauss 1992 17.3 (Prev),FALSE,Backlundtoppen700LS7.2,0,FALSE,,,,
Backlundtoppen Formation ,Backlundtoppen,700,,LS,limestone,limestone,LS,TRUE,,,6,,FAIR87.973,Strauss 1992 17.3 (Prev),FALSE,Backlundtoppen700LS6,0,FALSE,,,,
Backlundtoppen Formation ,Backlundtoppen,700,,CARB,carbonate,carbonate,CARB,TRUE,0.46,-24.9,,3,KNOL86.823,Strauss 1992 17.4 (Summary),TRUE,Backlundtoppen700CARB0.46-24.9,1,TRUE,,,,
Backlundtoppen Formation ,Backlundtoppen,700,,SH,shale,shale,SH,TRUE,3.6,-25,,1,KNOL86.823,Strauss 1992 17.4 (Summary),TRUE,Backlundtoppen700SH3.6-25,2,TRUE,,,,
Backlundtoppen Formation ,Backlundtoppen,700,,CARB,carbonate,carbonate,CARB,TRUE,,5.4,,8,KNOL86.832,Strauss 1992 17.4 (Summary),TRUE,Backlundtoppen700CARB5.4,1,TRUE,,,,
Backlundtoppen Formation ,Backlundtoppen,700,,LS,limestone,limestone,LS,TRUE,,6.6,,3,FAIR87.973,Strauss 1992 17.4 (Summary),TRUE,Backlundtoppen700LS6.6,1,TRUE,,,,
Badami,Badami,1300,dol,,dol,dol,DOL,#N/A,,,3.6,2,sath87,Krissansen-Totton 2015,FALSE,Badami1300DOL3.6,0,FALSE,,,,
Badami Group ,Badami,1300,,DOL,dolostone,dolostone,DOL,TRUE,,,3.2,,SATH87.147,Strauss 1992 17.3 (Prev),FALSE,Badami1300DOL3.2,0,FALSE,,,,
Badami Group ,Badami,1300,,DOL,dolostone,dolostone,DOL,TRUE,,,3.9,,SATH87.147,Strauss 1992 17.3 (Prev),FALSE,Badami1300DOL3.9,0,FALSE,,,,
Badami Group ,Badami,1300,,DOL,dolostone,dolostone,DOL,TRUE,,,3.6,2,SATH87.147,Strauss 1992 17.4 (Summary),TRUE,Badami1300DOL3.6,1,TRUE,,,,
"Balbirini Dol, Nathan Gp",Balbirini Dolomite,1600,dol,,dol,dol,DOL,#N/A,,,-0.6,21,lindsay00,Krissansen-Totton 2015,FALSE,Balbirini Dolomite1600DOL-0.6,0,FALSE,,,,
Bambui,Bambui,800,chert,,chert,chert,CH,#N/A,,-30.6,,1,fair86,Krissansen-Totton 2015,FALSE,Bambui800CH-30.6,0,FALSE,,,,
Bambui Group ,Bambui,810,,CH,chert,chert,CH,TRUE,,-30.6,,,FAIR86.323,Strauss 1992 17.3 (Prev),FALSE,Bambui810CH-30.6,0,FALSE,,,,
Bambui Group ,Bambui,810,,CH,chert,chert,CH,TRUE,,-30.6,,1,FAIR86.323,Strauss 1992 17.4 (Summary),TRUE,Bambui810CH-30.6,1,TRUE,,,,
Bangemall,Bangemall,1600,dol,,dol,dol,DOL,#N/A,,,0.8,7,veizer76,Krissansen-Totton 2015,FALSE,Bangemall1600DOL0.8,0,FALSE,,,,
Bangemall Group ,Bangemall,1100,,DOL,dolostone,dolostone,DOL,TRUE,,,2.3,,VEIZ761387,Strauss 1992 17.3 (Prev),FALSE,Bangemall1100DOL2.3,0,FALSE,,,,
Bangemall Group ,Bangemall,1100,,DOL,dolostone,dolostone,DOL,TRUE,,,2.2,,VEIZ761387,Strauss 1992 17.3 (Prev),FALSE,Bangemall1100DOL2.2,0,FALSE,,,,
Bangemall Group ,Bangemall,1100,,DOL,dolostone,dolostone,DOL,TRUE,,,-1,,VEIZ761387,Strauss 1992 17.3 (Prev),FALSE,Bangemall1100DOL-1,0,FALSE,,,,
Bangemall Group ,Bangemall,1100,,DOL,dolostone,dolostone,DOL,TRUE,,,-0.1,,VEIZ761387,Strauss 1992 17.3 (Prev),FALSE,Bangemall1100DOL-0.1,0,FALSE,,,,
Bangemall Group ,Bangemall,1100,,DOL,dolostone,dolostone,DOL,TRUE,,,2.7,,VEIZ761387,Strauss 1992 17.3 (Prev),FALSE,Bangemall1100DOL2.7,0,FALSE,,,,
Bangemall Group ,Bangemall,1100,,DOL,dolostone,dolostone,DOL,TRUE,,,0.4,,VEIZ761387,Strauss 1992 17.3 (Prev),FALSE,Bangemall1100DOL0.4,0,FALSE,,,,
Bangemall Group ,Bangemall,1100,,DOL,dolostone,dolostone,DOL,TRUE,,,-0.7,,VEIZ761387,Strauss 1992 17.3 (Prev),FALSE,Bangemall1100DOL-0.7,0,FALSE,,,,
Bangemall Group ,Bangemall,1100,,DOL,dolostone,dolostone,DOL,TRUE,,,0.8,7,VEIZ761387,Strauss 1992 17.4 (Summary),TRUE,Bangemall1100DOL0.8,0,FALSE,,,,
Bar River Formation ,Bar River,2250,qtzite,,qtzite,qtzite,QUAR,#N/A,0.07,-28.8,,1,pprg92,Krissansen-Totton 2015,FALSE,Bar River2250QUAR0.07-28.8,0,FALSE,,,,
Bar River Formation ,Bar River,2250,,QUAR,quartzite,quartzite,QUAR,TRUE,0.07,-28.8,,1,PPRG,Strauss 1992 17.4 (Summary),TRUE,Bar River2250QUAR0.07-28.8,1,TRUE,,,,
Barney Ck,Barney Creek,1650,shale,,shale,shale,SH,#N/A,0.79,-29.1,,14,smit75,Krissansen-Totton 2015,FALSE,Barney Creek1650SH0.79-29.1,0,FALSE,,,,
Barney Ck,Barney Creek,1650,shale,,shale,shale,SH,#N/A,21.35,-32,,13,powel87,Krissansen-Totton 2015,FALSE,Barney Creek1650SH21.35-32,0,FALSE,,,,
Barney Ck,Barney Creek,1650,shale,,shale,shale,SH,#N/A,4.82,-32.6,,1,pprg92,Krissansen-Totton 2015,FALSE,Barney Creek1650SH4.82-32.6,0,FALSE,,,,
"Barney Ck, McArthur Gp",Barney Creek,1650,shale,,shale,shale,SH,#N/A,,,-1.6,9,smith75,Krissansen-Totton 2015,FALSE,Barney Creek1650SH-1.6,0,FALSE,,,,
"Barney Ck, McArthur Gp",Barney Creek,1650,dol,,dol,dol,DOL,#N/A,,,-0.94,15,lindsay00,Krissansen-Totton 2015,FALSE,Barney Creek1650DOL-0.94,0,FALSE,,,,
Barney Creek Formation ,Barney Creek,1500,,SH,shale,shale,SH,TRUE,0.41,-30,,,SMIT75.269,Strauss 1992 17.3 (Prev),FALSE,Barney Creek1500SH0.41-30,0,FALSE,,,,
Barney Creek Formation ,Barney Creek,1500,,SH,shale,shale,SH,TRUE,0.26,-29.1,,,SMIT75.269,Strauss 1992 17.3 (Prev),FALSE,Barney Creek1500SH0.26-29.1,0,FALSE,,,,
Barney Creek Formation ,Barney Creek,1500,,SH,shale,shale,SH,TRUE,0.54,-31,,,SMIT75.269,Strauss 1992 17.3 (Prev),FALSE,Barney Creek1500SH0.54-31,0,FALSE,,,,
Barney Creek Formation ,Barney Creek,1500,,SH,shale,shale,SH,TRUE,1.2,-28.5,,,SMIT75.269,Strauss 1992 17.3 (Prev),FALSE,Barney Creek1500SH1.2-28.5,0,FALSE,,,,
Barney Creek Formation ,Barney Creek,1500,,SH,shale,shale,SH,TRUE,2.68,-28.6,,,SMIT75.269,Strauss 1992 17.3 (Prev),FALSE,Barney Creek1500SH2.68-28.6,0,FALSE,,,,
Barney Creek Formation ,Barney Creek,1500,,SH,shale,shale,SH,TRUE,2.88,-29.9,,,SMIT75.269,Strauss 1992 17.3 (Prev),FALSE,Barney Creek1500SH2.88-29.9,0,FALSE,,,,
Barney Creek Formation ,Barney Creek,1500,,SH,shale,shale,SH,TRUE,0.63,-28.6,,,SMIT75.269,Strauss 1992 17.3 (Prev),FALSE,Barney Creek1500SH0.63-28.6,0,FALSE,,,,
Barney Creek Formation ,Barney Creek,1500,,SILT,siltstone,siltstone,SILT,TRUE,0.16,-29.6,,,SMIT75.269,Strauss 1992 17.3 (Prev),FALSE,Barney Creek1500SILT0.16-29.6,0,FALSE,,,,
Barney Creek Formation ,Barney Creek,1500,,SILT,siltstone,siltstone,SILT,TRUE,0.47,-28.6,,,SMIT75.269,Strauss 1992 17.3 (Prev),FALSE,Barney Creek1500SILT0.47-28.6,0,FALSE,,,,
Barney Creek Formation ,Barney Creek,1500,,SILT,siltstone,siltstone,SILT,TRUE,0.16,-30.3,,,SMIT75.269,Strauss 1992 17.3 (Prev),FALSE,Barney Creek1500SILT0.16-30.3,0,FALSE,,,,
Barney Creek Formation ,Barney Creek,1500,,SILT,siltstone,siltstone,SILT,TRUE,0.04,-28.9,,,SMIT75.269,Strauss 1992 17.3 (Prev),FALSE,Barney Creek1500SILT0.04-28.9,0,FALSE,,,,
Barney Creek Formation ,Barney Creek,1500,,SILT,siltstone,siltstone,SILT,TRUE,0.49,-27.5,,,SMIT75.269,Strauss 1992 17.3 (Prev),FALSE,Barney Creek1500SILT0.49-27.5,0,FALSE,,,,
Barney Creek Formation ,Barney Creek,1500,,SILT,siltstone,siltstone,SILT,TRUE,0.68,-29.5,,,SMIT75.269,Strauss 1992 17.3 (Prev),FALSE,Barney Creek1500SILT0.68-29.5,0,FALSE,,,,
Barney Creek Formation ,Barney Creek,1500,,DOL,dolostone,dolostone,DOL,TRUE,0.45,-27.6,,,SMIT75.269,Strauss 1992 17.3 (Prev),FALSE,Barney Creek1500DOL0.45-27.6,0,FALSE,,,,
Barney Creek Formation ,Barney Creek,1500,,SH,shale,shale,SH,TRUE,8.2,-34.2,,,POWE87...1,Strauss 1992 17.3 (Prev),FALSE,Barney Creek1500SH8.2-34.2,0,FALSE,,,,
Barney Creek Formation ,Barney Creek,1500,,SH,shale,shale,SH,TRUE,19.8,-32.9,,,POWE87...1,Strauss 1992 17.3 (Prev),FALSE,Barney Creek1500SH19.8-32.9,0,FALSE,,,,
Barney Creek Formation ,Barney Creek,1500,,SH,shale,shale,SH,TRUE,27.5,-32.9,,,POWE87... I,Strauss 1992 17.3 (Prev),FALSE,Barney Creek1500SH27.5-32.9,0,FALSE,,,,
Barney Creek Formation ,Barney Creek,1500,,SH,shale,shale,SH,TRUE,8.8,-32.2,,,POWE87... I,Strauss 1992 17.3 (Prev),FALSE,Barney Creek1500SH8.8-32.2,0,FALSE,,,,
Barney Creek Formation ,Barney Creek,1500,,SH,shale,shale,SH,TRUE,7.1,-31,,,POWE87... I,Strauss 1992 17.3 (Prev),FALSE,Barney Creek1500SH7.1-31,0,FALSE,,,,
Barney Creek Formation ,Barney Creek,1500,,SH,shale,shale,SH,TRUE,7.9,-34.2,,,POWE87...,Strauss 1992 17.3 (Prev),FALSE,Barney Creek1500SH7.9-34.2,0,FALSE,,,,
Barney Creek Formation ,Barney Creek,1500,,SH,shale,shale,SH,TRUE,30,-31.6,,,POWE87...1,Strauss 1992 17.3 (Prev),FALSE,Barney Creek1500SH30-31.6,0,FALSE,,,,
Barney Creek Formation ,Barney Creek,1500,,SH,shale,shale,SH,TRUE,46.8,-31.2,,,POWE87...1,Strauss 1992 17.3 (Prev),FALSE,Barney Creek1500SH46.8-31.2,0,FALSE,,,,
Barney Creek Formation ,Barney Creek,1500,,SH,shale,shale,SH,TRUE,29.5,-30.1,,,POWE87...1,Strauss 1992 17.3 (Prev),FALSE,Barney Creek1500SH29.5-30.1,0,FALSE,,,,
Barney Creek Formation ,Barney Creek,1500,,SH,shale,shale,SH,TRUE,45,-30.5,,,POWE87...1,Strauss 1992 17.3 (Prev),FALSE,Barney Creek1500SH45-30.5,0,FALSE,,,,
Barney Creek Formation ,Barney Creek,1500,,SH,shale,shale,SH,TRUE,9,-29.9,,,POWE87...1,Strauss 1992 17.3 (Prev),FALSE,Barney Creek1500SH9-29.9,0,FALSE,,,,
Barney Creek Formation ,Barney Creek,1500,,SH,shale,shale,SH,TRUE,10.4,-32.8,,,POWE87...1,Strauss 1992 17.3 (Prev),FALSE,Barney Creek1500SH10.4-32.8,0,FALSE,,,,
Barney Creek Formation ,Barney Creek,1500,,SH,shale,shale,SH,TRUE,27.6,-32.8,,,POWE87...1,Strauss 1992 17.3 (Prev),FALSE,Barney Creek1500SH27.6-32.8,0,FALSE,,,,
Barney Creek Formation ,Barney Creek,1500,,SH,shale,shale,SH,TRUE,,,-0.7,,SMIT75.269,Strauss 1992 17.3 (Prev),FALSE,Barney Creek1500SH-0.7,0,FALSE,,,,
Barney Creek Formation ,Barney Creek,1500,,SH,shale,shale,SH,TRUE,,,-1.8,,SMIT75.269,Strauss 1992 17.3 (Prev),FALSE,Barney Creek1500SH-1.8,0,FALSE,,,,
Barney Creek Formation ,Barney Creek,1500,,LS,limestone,limestone,LS,TRUE,,,-1.6,,SMIT75.269,Strauss 1992 17.3 (Prev),FALSE,Barney Creek1500LS-1.6,0,FALSE,,,,
Barney Creek Formation ,Barney Creek,1500,,SILT,siltstone,siltstone,SILT,TRUE,,,-1.3,,SMIT75.269,Strauss 1992 17.3 (Prev),FALSE,Barney Creek1500SILT-1.3,0,FALSE,,,,
Barney Creek Formation ,Barney Creek,1500,,DOL,dolostone,dolostone,DOL,TRUE,,,-3.8,,SMIT75.269,Strauss 1992 17.3 (Prev),FALSE,Barney Creek1500DOL-3.8,0,FALSE,,,,
Barney Creek Formation ,Barney Creek,1500,,SH,shale,shale,SH,TRUE,,,-1.4,,SMIT75.269,Strauss 1992 17.3 (Prev),FALSE,Barney Creek1500SH-1.4,0,FALSE,,,,
Barney Creek Formation ,Barney Creek,1500,,SH,shale,shale,SH,TRUE,,,-1.2,,SMIT75.269,Strauss 1992 17.3 (Prev),FALSE,Barney Creek1500SH-1.2,0,FALSE,,,,
Barney Creek Formation ,Barney Creek,1500,,SH,shale,shale,SH,TRUE,,,-1.8,,SMIT75.269,Strauss 1992 17.3 (Prev),FALSE,Barney Creek1500SH-1.8,1,TRUE,,,,
Barney Creek Formation ,Barney Creek,1500,,DOL,dolostone,dolostone,DOL,TRUE,,,-1.2,,SMIT75.269,Strauss 1992 17.3 (Prev),FALSE,Barney Creek1500DOL-1.2,0,FALSE,,,,
Barney Creek Formation ,Barney Creek,1500,,SH,shale,shale,SH,TRUE,0.79,-29.1,,14,SMIT75.269,Strauss 1992 17.4 (Summary),TRUE,Barney Creek1500SH0.79-29.1,0,FALSE,,,,
Barney Creek Formation ,Barney Creek,1500,,SH,shale,shale,SH,TRUE,21.35,-32,,13,POWE87...1,Strauss 1992 17.4 (Summary),TRUE,Barney Creek1500SH21.35-32,0,FALSE,,,,
Barney Creek Formation ,Barney Creek,1500,,SH,shale,shale,SH,TRUE,4.82,-32.6,,1,PPRG,Strauss 1992 17.4 (Summary),TRUE,Barney Creek1500SH4.82-32.6,0,FALSE,,,,
Barney Creek Formation ,Barney Creek,1500,,"SH, CARB",shale and carbonate,shale and carbonate,"SH, CARB",TRUE,,,-1.6,9,SMIT75.269,Strauss 1992 17.4 (Summary),TRUE,"Barney Creek1500SH, CARB-1.6",0,FALSE,,,,
"Mc Arthur Gp.,Barney Creek Fm.",Barney Creek,1640,sandstone and shale,,sandstone and shale,sandstone and shale,Q,#N/A,,-32.19111111,,9,Johnston et al. (2008) GCA,Krissansen-Totton 2015,FALSE,Barney Creek1640Q-32.1911111111111,0,FALSE,,,,
Barandium System ,Barrandian,670,,SH,shale,shale,SH,TRUE,10.1,-36.9,,,POUB86.225,Strauss 1992 17.3 (Prev),FALSE,Barrandian670SH10.1-36.9,0,FALSE,,,,
Barandium System ,Barrandian,670,,SH,shale,shale,SH,TRUE,5.8,-35.5,,,POUB86.225,Strauss 1992 17.3 (Prev),FALSE,Barrandian670SH5.8-35.5,0,FALSE,,,,
Barandium System ,Barrandian,670,,SH,shale,shale,SH,TRUE,5,-33.3,,,POUB86.225,Strauss 1992 17.3 (Prev),FALSE,Barrandian670SH5-33.3,0,FALSE,,,,
Barandium System ,Barrandian,670,,SH,shale,shale,SH,TRUE,3.3,-33,,,POUB86.225,Strauss 1992 17.3 (Prev),FALSE,Barrandian670SH3.3-33,0,FALSE,,,,
Barandium System ,Barrandian,670,,SH,shale,shale,SH,TRUE,2.5,-32.6,,,POUB86.225,Strauss 1992 17.3 (Prev),FALSE,Barrandian670SH2.5-32.6,0,FALSE,,,,
Barandium System ,Barrandian,670,,SH,shale,shale,SH,TRUE,9.8,-32.2,,,POUB86.225,Strauss 1992 17.3 (Prev),FALSE,Barrandian670SH9.8-32.2,0,FALSE,,,,
Barandium System ,Barrandian,670,,SH,shale,shale,SH,TRUE,2.2,-31.2,,,POUB86.225,Strauss 1992 17.3 (Prev),FALSE,Barrandian670SH2.2-31.2,0,FALSE,,,,
Barandium System ,Barrandian,670,,SH,shale,shale,SH,TRUE,3.5,-30.5,,,POUB86.225,Strauss 1992 17.3 (Prev),FALSE,Barrandian670SH3.5-30.5,0,FALSE,,,,
Barandium System ,Barrandian,670,,SH,shale,shale,SH,TRUE,2.9,-30.7,,,POUB86.225,Strauss 1992 17.3 (Prev),FALSE,Barrandian670SH2.9-30.7,0,FALSE,,,,
Barandium System ,Barrandian,670,,SH,shale,shale,SH,TRUE,86.2,-35.9,,,POUB86.225,Strauss 1992 17.3 (Prev),FALSE,Barrandian670SH86.2-35.9,0,FALSE,,,,
Barandium System ,Barrandian,670,,SH,shale,shale,SH,TRUE,32,-32.8,,,POUB86.225,Strauss 1992 17.3 (Prev),FALSE,Barrandian670SH32-32.8,0,FALSE,,,,
Barandium System ,Barrandian,670,,SH,shale,shale,SH,TRUE,64,-32.2,,,POUB86.225,Strauss 1992 17.3 (Prev),FALSE,Barrandian670SH64-32.2,0,FALSE,,,,
Barandium System ,Barrandian,670,,SH,shale,shale,SH,TRUE,68,-31.8,,,POUB86.225,Strauss 1992 17.3 (Prev),FALSE,Barrandian670SH68-31.8,0,FALSE,,,,
Barrandian,Barrandian,675,shale,,shale,shale,SH,#N/A,22.72,-33,,13,poub86,Krissansen-Totton 2015,FALSE,Barrandian675SH22.72-33,0,FALSE,,,,
Barrandium System ,Barrandian,670,,SH,shale,shale,SH,TRUE,22.72,-33,,13,POUB86.225,Strauss 1992 17.4 (Summary),TRUE,Barrandian670SH22.72-33,0,FALSE,,,,
Barreiro,Barreiro,2000,shale,,shale,shale,SH,#N/A,,-24.4,,7,schid76,Krissansen-Totton 2015,FALSE,Barreiro2000SH-24.4,0,FALSE,,,,
Barreiro Formation ,Barreiro,2000,,SH,shale,shale,SH,TRUE,,-29,,,SCHI76.344,Strauss 1992 17.3 (Prev),FALSE,Barreiro2000SH-29,0,FALSE,,,,
Barreiro Formation ,Barreiro,2000,,SH,shale,shale,SH,TRUE,,-24.6,,,SCHI76.344,Strauss 1992 17.3 (Prev),FALSE,Barreiro2000SH-24.6,0,FALSE,,,,
Barreiro Formation ,Barreiro,2000,,SH,shale,shale,SH,TRUE,,-27.7,,,SCHI76.344,Strauss 1992 17.3 (Prev),FALSE,Barreiro2000SH-27.7,0,FALSE,,,,
Barreiro Formation ,Barreiro,2000,,SH,shale,shale,SH,TRUE,,-27.7,,,SCHI76.344,Strauss 1992 17.3 (Prev),FALSE,Barreiro2000SH-27.7,1,TRUE,,,,
Barreiro Formation ,Barreiro,2000,,SH,shale,shale,SH,TRUE,,-17.1,,,SCHI76.344,Strauss 1992 17.3 (Prev),FALSE,Barreiro2000SH-17.1,0,FALSE,,,,
Barreiro Formation ,Barreiro,2000,,SH,shale,shale,SH,TRUE,,-24.3,,,SCHI76.344,Strauss 1992 17.3 (Prev),FALSE,Barreiro2000SH-24.3,0,FALSE,,,,
Barreiro Formation ,Barreiro,2000,,SH,shale,shale,SH,TRUE,,-20.5,,,SCHI76.344,Strauss 1992 17.3 (Prev),FALSE,Barreiro2000SH-20.5,0,FALSE,,,,
Barreiro Formation ,Barreiro,2000,,SH,shale,shale,SH,TRUE,,-24.4,,7,SCHI76.344,Strauss 1992 17.4 (Summary),TRUE,Barreiro2000SH-24.4,1,TRUE,,,,
Batatal,Batatal,2400,shale,,shale,shale,SH,#N/A,,-24.4,,2,schid76,Krissansen-Totton 2015,FALSE,Batatal2400SH-24.4,0,FALSE,,,,
Batatal Formation ,Batatal,2400,,SH,shale,shale,SH,TRUE,,-24.2,,,SCHI76.344,Strauss 1992 17.3 (Prev),FALSE,Batatal2400SH-24.2,0,FALSE,,,,
Batatal Formation ,Batatal,2400,,SH,shale,shale,SH,TRUE,,-24.6,,,SCHI76.344,Strauss 1992 17.3 (Prev),FALSE,Batatal2400SH-24.6,0,FALSE,,,,
Batatal Formation I,Batatal,2400,,SH,shale,shale,SH,TRUE,,-24.4,,2,SCHI76.344,Strauss 1992 17.4 (Summary),TRUE,Batatal2400SH-24.4,1,TRUE,,,,
Beck Spring,Beck Springs Dolomite,850,dol,,dol,dol,DOL,#N/A,,,4.2,13,tuck82,Krissansen-Totton 2015,FALSE,Beck Springs Dolomite850DOL4.2,0,FALSE,,,,
Beck Spring Dolomite ,Beck Springs Dolomite,850,,CH,chert,chert,CH,TRUE,,-25,,,OEHL721246,Strauss 1992 17.3 (Prev),FALSE,Beck Springs Dolomite850CH-25,0,FALSE,,,,
