Formation,Std Fm. Name,Age (Mya),Std Lithology,Std Lithology Code,TOC,d13C-org,d13C-carb,N,Internal Ref,External Ref,Summary?,Duplicate?,Filtered (K-T),Reason,Filtered (us),Reason
Barney Ck,Barney Creek,1650,shale,SH,21.35,-32,,13,powel87,Krissansen-Totton 2015,FALSE,FALSE,,,,
Barney Ck,Barney Creek,1650,shale,SH,4.82,-32.6,,1,pprg92,Krissansen-Totton 2015,FALSE,FALSE,,,,
"Barney Ck, McArthur Gp",Barney Creek,1650,shale,SH,,,-1.6,9,smith75,Krissansen-Totton 2015,FALSE,FALSE,,,,
"Barney Ck, McArthur Gp",Barney Creek,1650,dol,DOL,,,-0.94,15,lindsay00,Krissansen-Totton 2015,FALSE,FALSE,,,,
Barney Creek Formation ,Barney Creek,1500,shale,SH,0.41,-30,,,SMIT75.269,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Barney Creek Formation ,Barney Creek,1500,shale,SH,0.26,-29.1,,,SMIT75.269,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Barney Creek Formation ,Barney Creek,1500,shale,SH,0.54,-31,,,SMIT75.269,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Barney Creek Formation ,Barney Creek,1500,shale,SH,1.2,-28.5,,,SMIT75.269,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Barney Creek Formation ,Barney Creek,1500,shale,SH,2.68,-28.6,,,SMIT75.269,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Barney Creek Formation ,Barney Creek,1500,shale,SH,2.88,-29.9,,,SMIT75.269,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Barney Creek Formation ,Barney Creek,1500,shale,SH,0.63,-28.6,,,SMIT75.269,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Barney Creek Formation ,Barney Creek,1500,siltstone,SILT,0.16,-29.6,,,SMIT75.269,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Barney Creek Formation ,Barney Creek,1500,siltstone,SILT,0.47,-28.6,,,SMIT75.269,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Barney Creek Formation ,Barney Creek,1500,siltstone,SILT,0.16,-30.3,,,SMIT75.269,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Barney Creek Formation ,Barney Creek,1500,siltstone,SILT,0.04,-28.9,,,SMIT75.269,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Barney Creek Formation ,Barney Creek,1500,siltstone,SILT,0.49,-27.5,,,SMIT75.269,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Barney Creek Formation ,Barney Creek,1500,siltstone,SILT,0.68,-29.5,,,SMIT75.269,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Barney Creek Formation ,Barney Creek,1500,dolostone,DOL,0.45,-27.6,,,SMIT75.269,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Barney Creek Formation ,Barney Creek,1500,shale,SH,8.2,-34.2,,,POWE87...1,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Barney Creek Formation ,Barney Creek,1500,shale,SH,19.8,-32.9,,,POWE87...1,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Barney Creek Formation ,Barney Creek,1500,shale,SH,27.5,-32.9,,,POWE87... I,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Barney Creek Formation ,Barney Creek,1500,shale,SH,8.8,-32.2,,,POWE87... I,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Barney Creek Formation ,Barney Creek,1500,shale,SH,7.1,-31,,,POWE87... I,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Barney Creek Formation ,Barney Creek,1500,shale,SH,7.9,-34.2,,,POWE87...,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Barney Creek Formation ,Barney Creek,1500,shale,SH,30,-31.6,,,POWE87...1,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Barney Creek Formation ,Barney Creek,1500,shale,SH,46.8,-31.2,,,POWE87...1,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Barney Creek Formation ,Barney Creek,1500,shale,SH,29.5,-30.1,,,POWE87...1,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Barney Creek Formation ,Barney Creek,1500,shale,SH,45,-30.5,,,POWE87...1,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Barney Creek Formation ,Barney Creek,1500,shale,SH,9,-29.9,,,POWE87...1,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Barney Creek Formation ,Barney Creek,1500,shale,SH,10.4,-32.8,,,POWE87...1,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Barney Creek Formation ,Barney Creek,1500,shale,SH,27.6,-32.8,,,POWE87...1,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Barney Creek Formation ,Barney Creek,1500,shale,SH,,,-0.7,,SMIT75.269,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Barney Creek Formation ,Barney Creek,1500,shale,SH,,,-1.8,,SMIT75.269,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Barney Creek Formation ,Barney Creek,1500,limestone,LS,,,-1.6,,SMIT75.269,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Barney Creek Formation ,Barney Creek,1500,siltstone,SILT,,,-1.3,,SMIT75.269,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Barney Creek Formation ,Barney Creek,1500,dolostone,DOL,,,-3.8,,SMIT75.269,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Barney Creek Formation ,Barney Creek,1500,shale,SH,,,-1.4,,SMIT75.269,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Barney Creek Formation ,Barney Creek,1500,shale,SH,,,-1.2,,SMIT75.269,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Barney Creek Formation ,Barney Creek,1500,shale,SH,,,-1.8,,SMIT75.269,Strauss 1992 17.3 (Prev),FALSE,TRUE,,,,
Barney Creek Formation ,Barney Creek,1500,dolostone,DOL,,,-1.2,,SMIT75.269,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Barney Creek Formation ,Barney Creek,1500,shale,SH,0.79,-29.1,,14,SMIT75.269,Strauss 1992 17.4 (Summary),TRUE,FALSE,,,,
Barney Creek Formation ,Barney Creek,1500,shale,SH,21.35,-32,,13,POWE87...1,Strauss 1992 17.4 (Summary),TRUE,FALSE,,,,
Barney Creek Formation ,Barney Creek,1500,shale,SH,4.82,-32.6,,1,PPRG,Strauss 1992 17.4 (Summary),TRUE,FALSE,,,,
Barney Creek Formation ,Barney Creek,1500,shale and carbonate,"SH, CARB",,,-1.6,9,SMIT75.269,Strauss 1992 17.4 (Summary),TRUE,FALSE,,,,
"Mc Arthur Gp.,Barney Creek Fm.",Barney Creek,1640,sandstone and shale,Q,,-32.19111111,,9,Johnston et al. (2008) GCA,Krissansen-Totton 2015,FALSE,FALSE,,,,
Barandium System ,Barrandian,670,shale,SH,10.1,-36.9,,,POUB86.225,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Barandium System ,Barrandian,670,shale,SH,5.8,-35.5,,,POUB86.225,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Barandium System ,Barrandian,670,shale,SH,5,-33.3,,,POUB86.225,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Barandium System ,Barrandian,670,shale,SH,3.3,-33,,,POUB86.225,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Barandium System ,Barrandian,670,shale,SH,2.5,-32.6,,,POUB86.225,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Barandium System ,Barrandian,670,shale,SH,9.8,-32.2,,,POUB86.225,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Barandium System ,Barrandian,670,shale,SH,2.2,-31.2,,,POUB86.225,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Barandium System ,Barrandian,670,shale,SH,3.5,-30.5,,,POUB86.225,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Barandium System ,Barrandian,670,shale,SH,2.9,-30.7,,,POUB86.225,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Barandium System ,Barrandian,670,shale,SH,86.2,-35.9,,,POUB86.225,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Barandium System ,Barrandian,670,shale,SH,32,-32.8,,,POUB86.225,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Barandium System ,Barrandian,670,shale,SH,64,-32.2,,,POUB86.225,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Barandium System ,Barrandian,670,shale,SH,68,-31.8,,,POUB86.225,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Barrandian,Barrandian,675,shale,SH,22.72,-33,,13,poub86,Krissansen-Totton 2015,FALSE,FALSE,,,,
Barrandium System ,Barrandian,670,shale,SH,22.72,-33,,13,POUB86.225,Strauss 1992 17.4 (Summary),TRUE,FALSE,,,,
Barreiro,Barreiro,2000,shale,SH,,-24.4,,7,schid76,Krissansen-Totton 2015,FALSE,FALSE,,,,
Barreiro Formation ,Barreiro,2000,shale,SH,,-29,,,SCHI76.344,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Barreiro Formation ,Barreiro,2000,shale,SH,,-24.6,,,SCHI76.344,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Barreiro Formation ,Barreiro,2000,shale,SH,,-27.7,,,SCHI76.344,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Barreiro Formation ,Barreiro,2000,shale,SH,,-27.7,,,SCHI76.344,Strauss 1992 17.3 (Prev),FALSE,TRUE,,,,
Barreiro Formation ,Barreiro,2000,shale,SH,,-17.1,,,SCHI76.344,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Barreiro Formation ,Barreiro,2000,shale,SH,,-24.3,,,SCHI76.344,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Barreiro Formation ,Barreiro,2000,shale,SH,,-20.5,,,SCHI76.344,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Barreiro Formation ,Barreiro,2000,shale,SH,,-24.4,,7,SCHI76.344,Strauss 1992 17.4 (Summary),TRUE,TRUE,,,,
Batatal,Batatal,2400,shale,SH,,-24.4,,2,schid76,Krissansen-Totton 2015,FALSE,FALSE,,,,
Batatal Formation ,Batatal,2400,shale,SH,,-24.2,,,SCHI76.344,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Batatal Formation ,Batatal,2400,shale,SH,,-24.6,,,SCHI76.344,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Batatal Formation I,Batatal,2400,shale,SH,,-24.4,,2,SCHI76.344,Strauss 1992 17.4 (Summary),TRUE,TRUE,,,,
Beck Spring,Beck Springs Dolomite,850,dol,DOL,,,4.2,13,tuck82,Krissansen-Totton 2015,FALSE,FALSE,,,,
Beck Spring Dolomite ,Beck Springs Dolomite,850,chert,CH,,-25,,,OEHL721246,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Beck Spring Dolomite ,Beck Springs Dolomite,850,dolostone,DOL,,-15.2,,,JACK78.335,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Beck Spring Dolomite ,Beck Springs Dolomite,850,dolostone,DOL,,,3.8,,TUCK82...7,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Beck Spring Dolomite ,Beck Springs Dolomite,850,dolostone,DOL,,,3.9,,TUCK82...7,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Beck Spring Dolomite ,Beck Springs Dolomite,850,dolostone,DOL,,,4,,TUCK82...7,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Beck Spring Dolomite ,Beck Springs Dolomite,850,dolostone,DOL,,,4.1,,TUCK82...7,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Beck Spring Dolomite ,Beck Springs Dolomite,850,dolostone,DOL,,,4.1,,TUCK82...7,Strauss 1992 17.3 (Prev),FALSE,TRUE,,,,
Beck Spring Dolomite ,Beck Springs Dolomite,850,dolostone,DOL,,,4.1,,TUCK82...7,Strauss 1992 17.3 (Prev),FALSE,TRUE,,,,
Beck Spring Dolomite ,Beck Springs Dolomite,850,dolostone,DOL,,,4.2,,TUCK82...7,Strauss 1992 17.3 (Prev),FALSE,TRUE,,,,
Beck Spring Dolomite ,Beck Springs Dolomite,850,dolostone,DOL,,,4.3,,TUCK82...7,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Beck Spring Dolomite ,Beck Springs Dolomite,850,dolostone,DOL,,,4.3,,TUCK82...7,Strauss 1992 17.3 (Prev),FALSE,TRUE,,,,
Beck Spring Dolomite ,Beck Springs Dolomite,850,dolostone,DOL,,,4.5,,TUCK82...7,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Beck Spring Dolomite ,Beck Springs Dolomite,850,dolostone,DOL,,,4.5,,TUCK82...7,Strauss 1992 17.3 (Prev),FALSE,TRUE,,,,
Beck Spring Dolomite ,Beck Springs Dolomite,850,dolostone,DOL,,,4.5,,TUCK.82 7,Strauss 1992 17.3 (Prev),FALSE,TRUE,,,,
Beck Spring Dolomite ,Beck Springs Dolomite,850,dolostone,DOL,,,4.8,,TUCK82...7,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Beck Spring Dolomite ,Beck Springs Dolomite,850,chert,CH,,-25,,1,OEHL721246,Strauss 1992 17.4 (Summary),TRUE,TRUE,,,,
Beck Spring Dolomite ,Beck Springs Dolomite,850,dolostone,DOL,,-15.2,,1,JACK78.335,Strauss 1992 17.4 (Summary),TRUE,TRUE,,,,
Beck Spring Dolomite ,Beck Springs Dolomite,850,dolostone,DOL,,,4.2,13,TUCK82…7,Strauss 1992 17.4 (Summary),TRUE,TRUE,,,,
Beck Spring Dolomite ,Beck Springs Dolomite,850,carbonate and chert,"CARB, CH",0.35,-25.7,,1,PPRG,Strauss 1992 17.4 (Summary),TRUE,FALSE,,,,
Beck Springs,Beck Springs Dolomite,850,dol,DOL,,-15.2,,1,jack78,Krissansen-Totton 2015,FALSE,TRUE,,,,
Beck Springs,Beck Springs Dolomite,850,chert,CH,,-25,,1,oehl72,Krissansen-Totton 2015,FALSE,TRUE,,,,
Beck Springs,Beck Springs Dolomite,850,carb,CARB,0.35,-25.7,,1,pprg92,Krissansen-Totton 2015,FALSE,FALSE,,,,
Bed 10,Bed 10,750,dol,DOL,0.5,-29.6,,1,knoll86,Krissansen-Totton 2015,FALSE,FALSE,,,?,Where are these from??
Bed 10,Bed 10,750,dol,DOL,,,-1.4,1,knoll86,Krissansen-Totton 2015,FALSE,FALSE,,,?,Where are these from??
Bed 10 ,Bed 10,760,dolostone,DOL,0.5,-29.6,,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,?,Where are these from??
Bed 10 ,Bed 10,760,dolostone,DOL,,,-1.4,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,?,Where are these from??
Bed 10 ,Bed 10,760,dolostone,DOL,0.5,-29.6,,1,KNOL86.823,Strauss 1992 17.4 (Summary),TRUE,TRUE,,,?,Where are these from??
Bed 10 ,Bed 10,760,dolostone,DOL,,,-1.4,1,KNOL86.832,Strauss 1992 17.4 (Summary),TRUE,TRUE,,,?,Where are these from??
Bed 11,Bed 11,750,carb,CARB,1,-23.7,,5,knoll86,Krissansen-Totton 2015,FALSE,FALSE,,,?,Where are these from??
Bed 11,Bed 11,750,carb,CARB,,,4.5,5,knoll86,Krissansen-Totton 2015,FALSE,FALSE,,,?,Where are these from??
Bed 11 ,Bed 11,760,shale,SH,1.7,-26.6,,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,?,Where are these from??
Bed 11 ,Bed 11,760,carbonate,CARB,2.9,-23.6,,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,?,Where are these from??
Bed 11 ,Bed 11,760,limestone,LS,2.3,-25.6,,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,?,Where are these from??
Bed 11 ,Bed 11,760,limestone,LS,0.5,-21.9,,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,?,Where are these from??
Bed 11 ,Bed 11,760,carbonate,CARB,0.3,-20.7,,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,?,Where are these from??
Bed 11 ,Bed 11,760,shale,SH,,,1.4,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,?,Where are these from??
Bed 11 ,Bed 11,760,carbonate,CARB,,,5.6,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,?,Where are these from??
Bed 11 ,Bed 11,760,limestone,LS,,,6,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,?,Where are these from??
Bed 11 ,Bed 11,760,limestone,LS,,,4.9,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,?,Where are these from??
Bed 11 ,Bed 11,760,carbonate,CARB,,,4.8,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,?,Where are these from??
Bed 11 ,Bed 11,760,carbonate and shale,"CARB, SH",1.54,-23.7,,5,KNOL86.823,Strauss 1992 17.4 (Summary),TRUE,FALSE,,,?,Where are these from??
Bed 11 ,Bed 11,760,carbonate and shale,"CARB, SH",,,4.5,5,KNOL86.832,Strauss 1992 17.4 (Summary),TRUE,FALSE,,,?,Where are these from??
Bed 12,Bed 12,750,dol,DOL,3.1,-28.2,,1,knoll86,Krissansen-Totton 2015,FALSE,FALSE,,,?,Where are these from??
Bed 12,Bed 12,750,dol,DOL,,,1.7,1,knoll86,Krissansen-Totton 2015,FALSE,FALSE,,,?,Where are these from??
Bed 12 ,Bed 12,740,dolostone,DOL,3.1,-28.2,,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,?,Where are these from??
Bed 12 ,Bed 12,740,dolostone,DOL,,,1.7,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,?,Where are these from??
Bed 12 ,Bed 12,740,dolostone,DOL,3.1,-28.2,,1,KNOL86.823,Strauss 1992 17.4 (Summary),TRUE,TRUE,,,?,Where are these from??
Bed 12 ,Bed 12,740,dolostone,DOL,,,1.7,1,KNOL86.832,Strauss 1992 17.4 (Summary),TRUE,TRUE,,,?,Where are these from??
Bed 13,Bed 13,750,shale,SH,1.1,-23.7,,2,knoll86,Krissansen-Totton 2015,FALSE,FALSE,,,?,Where are these from??
Bed 13,Bed 13,750,dol,DOL,0.4,-23.9,,1,knoll86,Krissansen-Totton 2015,FALSE,FALSE,,,?,Where are these from??
Bed 13,Bed 13,750,dol,DOL,,,4.7,1,knoll86,Krissansen-Totton 2015,FALSE,FALSE,,,?,Where are these from??
Bed 13 ,Bed 13,740,dolostone,DOL,0.4,-23.9,,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,?,Where are these from??
Bed 13 ,Bed 13,740,shale,SH,0.9,-24.2,,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,?,Where are these from??
Bed 13 ,Bed 13,740,shale,SH,1.3,-23.1,,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,?,Where are these from??
Bed 13 ,Bed 13,740,dolostone,DOL,,,4.7,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,?,Where are these from??
Bed 13 ,Bed 13,740,shale,SH,1.1,-23.7,,2,KNOL86.823,Strauss 1992 17.4 (Summary),TRUE,FALSE,,,?,Where are these from??
Bed 13 ,Bed 13,740,dolostone,DOL,0.4,-23.9,,1,KNOL86.823,Strauss 1992 17.4 (Summary),TRUE,TRUE,,,?,Where are these from??
Bed 13 ,Bed 13,740,dolostone,DOL,,,4.7,1,KNOL86.832,Strauss 1992 17.4 (Summary),TRUE,TRUE,,,?,Where are these from??
Bed 14,Bed 14,725,lime ,LS,0.9,-23.9,,1,knoll86,Krissansen-Totton 2015,FALSE,FALSE,,,?,Where are these from??
Bed 14,Bed 14,725,lime,LS,,,4.4,1,knoll86,Krissansen-Totton 2015,FALSE,FALSE,,,?,Where are these from??
Bed 14 ,Bed 14,720,limestone,LS,0.9,-23.9,,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,?,Where are these from??
Bed 14 ,Bed 14,720,limestone,LS,,,4.4,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,?,Where are these from??
Bed 14 ,Bed 14,720,limestone,LS,0.9,-23.9,,1,K.NOL86.823,Strauss 1992 17.4 (Summary),TRUE,TRUE,,,?,Where are these from??
Bed 14 ,Bed 14,720,limestone,LS,,,4.4,1,KNOL86.832,Strauss 1992 17.4 (Summary),TRUE,TRUE,,,?,Where are these from??
Bed 15,Bed 15,725,dol,DOL,0.4,-23.8,,1,knoll86,Krissansen-Totton 2015,FALSE,FALSE,,,?,Where are these from??
Bed 15,Bed 15,725,dol,DOL,,,5.6,1,knoll86,Krissansen-Totton 2015,FALSE,FALSE,,,?,Where are these from??
Bed 15 ,Bed 15,720,dolostone,DOL,0.4,-23.8,,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,?,Where are these from??
Bed 15 ,Bed 15,720,dolostone,DOL,,,5.6,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,?,Where are these from??
Bed 15 ,Bed 15,720,dolostone,DOL,0.4,-23.8,,1,KNOL86.823,Strauss 1992 17.4 (Summary),TRUE,TRUE,,,?,Where are these from??
Bed 15 ,Bed 15,720,dolostone,DOL,,,5.6,1,KNOL86.832,Strauss 1992 17.4 (Summary),TRUE,TRUE,,,?,Where are these from??
Bed 17,Bed 17,700,carb,CARB,0.2,-23.1,,1,knoll86,Krissansen-Totton 2015,FALSE,FALSE,,,?,Where are these from??
Bed 17,Bed 17,700,carb,CARB,,,9.1,2,knoll86,Krissansen-Totton 2015,FALSE,FALSE,,,?,Where are these from??
Bed 17 ,Bed 17,700,dolostone,DOL,0.2,-23.1,,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,?,Where are these from??
Bed 17 ,Bed 17,700,dolostone,DOL,,,11,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,?,Where are these from??
Bed 17 ,Bed 17,700,limestone,LS,,,7.3,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,?,Where are these from??
Bed 17 ,Bed 17,700,carbonate,CARB,0.2,-23.1,,1,KNOL86.823,Strauss 1992 17.4 (Summary),TRUE,TRUE,,,?,Where are these from??
Bed 17 ,Bed 17,700,carbonate,CARB,,,9.1,2,KNOL86.832,Strauss 1992 17.4 (Summary),TRUE,TRUE,,,?,Where are these from??
Bed 18,Bed 18,700,carb,CARB,1,-26.4,,4,knoll86,Krissansen-Totton 2015,FALSE,FALSE,,,?,Where are these from??
Bed 18,Bed 18,700,carb,CARB,,,5.4,4,knoll86,Krissansen-Totton 2015,FALSE,FALSE,,,?,Where are these from??
Bed 18 ,Bed 18,700,dolostone,DOL,0.4,-24.8,,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,?,Where are these from??
Bed 18 ,Bed 18,700,dolostone,DOL,1.1,-33.1,,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,?,Where are these from??
Bed 18 ,Bed 18,700,limestone,LS,0.9,-23.9,,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,?,Where are these from??
Bed 18 ,Bed 18,700,limestone,LS,1.6,-23.9,,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,?,Where are these from??
Bed 18 ,Bed 18,700,dolostone,DOL,,,4.8,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,?,Where are these from??
Bed 18 ,Bed 18,700,dolostone,DOL,,,-3.1,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,?,Where are these from??
Bed 18 ,Bed 18,700,limestone,LS,,,7.2,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,?,Where are these from??
Bed 18 ,Bed 18,700,limestone,LS,,,7.2,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,TRUE,,,?,Where are these from??
Bed 18 ,Bed 18,700,carbonate,CARB,1,-26.4,,,KNOL86.823,Strauss 1992 17.4 (Summary),TRUE,TRUE,,,?,Where are these from??
Bed 18 ,Bed 18,700,carbonate,CARB,,,5.4,,KNOL86.832,Strauss 1992 17.4 (Summary),TRUE,TRUE,,,?,Where are these from??
Bed 19,Bed 19,675,shale,SH,2.9,-31,,1,knoll86,Krissansen-Totton 2015,FALSE,FALSE,,,?,Where are these from??
Bed 19,Bed 19,675,lime ,LS,4.65,-24.8,,6,knoll86,Krissansen-Totton 2015,FALSE,FALSE,,,?,Where are these from??
Bed 19,Bed 19,675,lime,LS,,,4.7,6,knoll86,Krissansen-Totton 2015,FALSE,FALSE,,,?,Where are these from??
Bed 19 ,Bed 19,680,shale,SH,2.9,-31,,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,?,Where are these from??
Bed 19 ,Bed 19,680,limestone,LS,5.1,-26.2,,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,?,Where are these from??
Bed 19 ,Bed 19,680,limestone,LS,5.9,-27.2,,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,?,Where are these from??
Bed 19 ,Bed 19,680,limestone,LS,5.1,-26.5,,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,?,Where are these from??
Bed 19 ,Bed 19,680,limestone,LS,4.1,-17,,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,?,Where are these from??
Bed 19 ,Bed 19,680,limestone,LS,2,-26.6,,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,?,Where are these from??
Bed 19 ,Bed 19,680,limestone,LS,5.7,-25.4,,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,?,Where are these from??
Bed 19 ,Bed 19,680,limestone,LS,,,3.2,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,?,Where are these from??
Bed 19 ,Bed 19,680,limestone,LS,,,2.9,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,?,Where are these from??
Bed 19 ,Bed 19,680,limestone,LS,,,3,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,?,Where are these from??
Bed 19 ,Bed 19,680,limestone,LS,,,6.6,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,?,Where are these from??
Bed 19 ,Bed 19,680,limestone,LS,,,5.5,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,?,Where are these from??
Bed 19 ,Bed 19,680,limestone,LS,,,7.2,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,?,Where are these from??
Bed 19 ,Bed 19,680,limestone,LS,4.65,-24.8,,6,KNOL86.823,Strauss 1992 17.4 (Summary),TRUE,FALSE,,,?,Where are these from??
Bed 19 ,Bed 19,680,shale,SH,2.9,-31,,1,KNOL86.823,Strauss 1992 17.4 (Summary),TRUE,TRUE,,,?,Where are these from??
Bed 19 ,Bed 19,680,limestone,LS,,,4.7,6,KNOL86.832,Strauss 1992 17.4 (Summary),TRUE,FALSE,,,?,Where are these from??
